,Completed
720575940596125868,True
720575940599763910,True
720575940600646173,True
720575940601598892,True
720575940602353632,True
720575940602564320,True
720575940602815200,True
720575940602917088,True
720575940603032748,True
720575940603123936,True
720575940603215532,True
720575940603295200,True
720575940603365980,True
720575940603397088,True
720575940603452384,True
720575940603487456,True
720575940603514141,True
720575940603552736,True
720575940603591014,True
720575940603636913,True
720575940603676774,True
720575940603714272,True
720575940603744992,True
720575940603773798,True
720575940603814060,True
720575940603842476,True
720575940603873452,True
720575940603893280,True
720575940603923116,True
720575940603942944,True
720575940603964774,True
720575940604007392,True
720575940604023724,True
720575940604058540,True
720575940604087230,True
720575940604106272,True
720575940604131296,True
720575940604167712,True
720575940604195360,True
720575940604218028,True
720575940604247985,True
720575940604274534,True
720575940604304561,True
720575940604337696,True
720575940604372070,True
720575940604402092,True
720575940604418988,True
720575940604435814,True
720575940604455340,True
720575940604474028,True
720575940604486880,True
720575940604504748,True
720575940604521440,True
720575940604544358,True
720575940604567486,True
720575940604589856,True
720575940604609504,True
720575940604624574,True
720575940604635616,True
720575940604650174,True
720575940604663520,True
720575940604684209,True
720575940604699825,True
720575940604712688,True
720575940604722622,True
720575940604734641,True
720575940604747953,True
720575940604763360,True
720575940604782624,True
720575940604804798,True
720575940604810976,True
720575940604820140,True
720575940604830432,True
720575940604839200,True
720575940604861356,True
720575940604876977,True
720575940604889278,True
720575940604898150,True
720575940604909246,True
720575940604924896,True
720575940604934572,True
720575940604943394,True
720575940604957920,True
720575940604965548,True
720575940604973856,True
720575940604986592,True
720575940604996524,True
720575940605007550,True
720575940605019057,True
720575940605029036,True
720575940605038182,True
720575940605051052,True
720575940605068576,True
720575940605076401,True
720575940605095346,True
720575940605106110,True
720575940605114848,True
720575940605125152,True
720575940605142118,True
720575940605156064,True
720575940605165228,True
720575940605179360,True
720575940605187970,True
720575940605197158,True
720575940605213100,True
720575940605226156,True
720575940605244704,True
720575940605255042,True
720575940605269378,True
720575940605280201,True
720575940605287881,True
720575940605293698,True
720575940605307582,True
720575940605318880,True
720575940605332652,True
720575940605345410,True
720575940605360817,True
720575940605370033,True
720575940605380268,True
720575940605389740,True
720575940605397182,True
720575940605405408,True
720575940605413385,True
720575940605422560,True
720575940605431840,True
720575940605442220,True
720575940605452064,True
720575940605465888,True
720575940605478846,True
720575940605491302,True
720575940605501641,True
720575940605520062,True
720575940605531593,True
720575940605540030,True
720575940605548902,True
720575940605558402,True
720575940605571040,True
720575940605587558,True
720575940605599678,True
720575940605610784,True
720575940605621024,True
720575940605630850,True
720575940605636896,True
720575940605644716,True
720575940605651302,True
720575940605659872,True
720575940605666732,True
720575940605674249,True
720575940605680817,True
720575940605686374,True
720575940605694752,True
720575940605702590,True
720575940605706784,True
720575940605717792,True
720575940605726385,True
720575940605738272,True
720575940605747633,True
720575940605757356,True
720575940605763942,True
720575940605774182,True
720575940605781932,True
720575940605790594,True
720575940605797222,True
720575940605805600,True
720575940605810464,True
720575940605817522,True
720575940605824684,True
720575940605829804,True
720575940605836204,True
720575940605842400,True
720575940605845984,True
720575940605853542,True
720575940605861804,True
720575940605871974,True
720575940605880497,True
720575940605886240,True
720575940605891040,True
720575940605897900,True
720575940605907586,True
720575940605916081,True
720575940605926112,True
720575940605934014,True
720575940605940000,True
720575940605950496,True
720575940605961830,True
720575940605973438,True
720575940605981886,True
720575940605988017,True
720575940605996209,True
720575940606004396,True
720575940606013356,True
720575940606019312,True
720575940606028210,True
720575940606039241,True
720575940606046892,True
720575940606052706,True
720575940606058924,True
720575940606069937,True
720575940606081196,True
720575940606091622,True
720575940606099586,True
720575940606108862,True
720575940606115942,True
720575940606123954,True
720575940606130720,True
720575940606139680,True
720575940606144684,True
720575940606158257,True
720575940606166886,True
720575940606173630,True
720575940606182758,True
720575940606197193,True
720575940606202814,True
720575940606216905,True
720575940606224318,True
720575940606236448,True
720575940606246334,True
720575940606260402,True
720575940606269617,True
720575940606279782,True
720575940606296497,True
720575940606307262,True
720575940606319648,True
720575940606332629,True
720575940606340286,True
720575940606352050,True
720575940606367422,True
720575940606380390,True
720575940606392497,True
720575940606401982,True
720575940606412771,True
720575940606421001,True
720575940606429206,True
720575940606437990,True
720575940606448318,True
720575940606454108,True
720575940606462240,True
720575940606472881,True
720575940606481929,True
720575940606489521,True
720575940606499017,True
720575940606508674,True
720575940606517950,True
720575940606524337,True
720575940606533321,True
720575940606539552,True
720575940606549961,True
720575940606558822,True
720575940606568126,True
720575940606576305,True
720575940606584352,True
720575940606595430,True
720575940606601417,True
720575940606611977,True
720575940606617557,True
720575940606625982,True
720575940606628896,True
720575940606635186,True
720575940606640742,True
720575940606646962,True
720575940606653374,True
720575940606661920,True
720575940606666953,True
720575940606675646,True
720575940606681099,True
720575940606684593,True
720575940606693297,True
720575940606699989,True
720575940606711241,True
720575940606721201,True
720575940606725553,True
720575940606733489,True
720575940606738441,True
720575940606743985,True
720575940606747740,True
720575940606757041,True
720575940606762686,True
720575940606769609,True
720575940606776585,True
720575940606786249,True
720575940606800073,True
720575940606810057,True
720575940606824834,True
720575940606845873,True
720575940606851761,True
720575940606862281,True
720575940606870961,True
720575940606884017,True
720575940606901938,True
720575940606913154,True
720575940606920643,True
720575940606931145,True
720575940606942130,True
720575940606952028,True
720575940606965705,True
720575940606976713,True
720575940606991817,True
720575940607001474,True
720575940607010825,True
720575940607019019,True
720575940607030281,True
720575940607040981,True
720575940607049673,True
720575940607060425,True
720575940607072898,True
720575940607081769,True
720575940607092828,True
720575940607107785,True
720575940607122268,True
720575940607131081,True
720575940607146882,True
720575940607161218,True
720575940607174578,True
720575940607180722,True
720575940607193986,True
720575940607201458,True
720575940607208540,True
720575940607218443,True
720575940607227010,True
720575940607236676,True
720575940607247049,True
720575940607254108,True
720575940607263068,True
720575940607272715,True
720575940607280818,True
720575940607288265,True
720575940607304459,True
720575940607314050,True
720575940607332297,True
720575940607341234,True
720575940607349001,True
720575940607360713,True
720575940607368393,True
720575940607380658,True
720575940607390219,True
720575940607406978,True
720575940607420850,True
720575940607437269,True
720575940607447474,True
720575940607458226,True
720575940607469404,True
720575940607476174,True
720575940607488457,True
720575940607507157,True
720575940607513730,True
720575940607522226,True
720575940607535049,True
720575940607551701,True
720575940607570185,True
720575940607585731,True
720575940607596162,True
720575940607607218,True
720575940607619541,True
720575940607630805,True
720575940607641801,True
720575940607651083,True
720575940607664853,True
720575940607678594,True
720575940607689394,True
720575940607698866,True
720575940607710921,True
720575940607725769,True
720575940607741705,True
720575940607756233,True
720575940607765705,True
720575940607777410,True
720575940607788233,True
720575940607802123,True
720575940607812018,True
720575940607822002,True
720575940607830211,True
720575940607846083,True
720575940607854531,True
720575940607860419,True
720575940607868873,True
720575940607872969,True
720575940607879691,True
720575940607889244,True
720575940607896265,True
720575940607902682,True
720575940607915529,True
720575940607927170,True
720575940607934082,True
720575940607944260,True
720575940607957769,True
720575940607967874,True
720575940607978820,True
720575940607986866,True
720575940607991819,True
720575940608006578,True
720575940608020931,True
720575940608028764,True
720575940608042114,True
720575940608053084,True
720575940608062594,True
720575940608071435,True
720575940608082990,True
720575940608088259,True
720575940608102613,True
720575940608118108,True
720575940608127666,True
720575940608139394,True
720575940608148489,True
720575940608156290,True
720575940608163285,True
720575940608174894,True
720575940608179268,True
720575940608186307,True
720575940608193475,True
720575940608208651,True
720575940608214281,True
720575940608223410,True
720575940608233941,True
720575940608240562,True
720575940608252427,True
720575940608268227,True
720575940608278364,True
720575940608281929,True
720575940608295032,True
720575940608302601,True
720575940608315740,True
720575940608326274,True
720575940608334770,True
720575940608339330,True
720575940608344331,True
720575940608352068,True
720575940608361737,True
720575940608367746,True
720575940608371586,True
720575940608383243,True
720575940608391691,True
720575940608402524,True
720575940608411349,True
720575940608428555,True
720575940608436235,True
720575940608453077,True
720575940608469257,True
720575940608490435,True
720575940608500316,True
720575940608509764,True
720575940608523612,True
720575940608528341,True
720575940608544011,True
720575940608555868,True
720575940608566979,True
720575940608583689,True
720575940608595804,True
720575940608605705,True
720575940608613212,True
720575940608617737,True
720575940608626133,True
720575940608633134,True
720575940608650537,True
720575940608662318,True
720575940608671324,True
720575940608681993,True
720575940608694025,True
720575940608707192,True
720575940608721419,True
720575940608732425,True
720575940608745006,True
720575940608756747,True
720575940608767957,True
720575940608782428,True
720575940608795659,True
720575940608803081,True
720575940608810798,True
720575940608822281,True
720575940608829909,True
720575940608838958,True
720575940608851925,True
720575940608864777,True
720575940608873737,True
720575940608883780,True
720575940608889902,True
720575940608905737,True
720575940608911113,True
720575940608918830,True
720575940608929749,True
720575940608937923,True
720575940608945163,True
720575940608956169,True
720575940608964821,True
720575940608971221,True
720575940608977877,True
720575940608984277,True
720575940608991755,True
720575940608999492,True
720575940609008853,True
720575940609019659,True
