# model_identity.py - zero-trust per-tensor forensic listing
# generated: 2026-09-24T07:58:09+00:00
# scheme: sha256 prefix = first 16 hex chars of per-tensor sha256 (key|dtype|shape|raw_bytes); raw prefix = sha256(raw_bytes only)
#
# CKPT tensors (checkpoint state dict, hashed from loaded bytes)
TYPE	KEY	SHAPE	NUMEL	DTYPE	SHA256_16	RAW_SHA256_16
CKPT	lm_head.weight	[10240,768]	7864320	torch.float32	23d49d39729b615e	2ca0453dd594b2d1
CKPT	model.embed_tokens.weight	[10240,768]	7864320	torch.float32	d728eeb669eba025	180a3839cae13ffe
CKPT	model.layers.0.input_layernorm.weight	[768]	768	torch.float32	c93ee92217833a4f	2ac8370381f19610
CKPT	model.layers.0.mlp.down_proj.weight	[768,3072]	2359296	torch.float32	433a66bc63dcbf51	971991d1434ba705
CKPT	model.layers.0.mlp.gate_proj.weight	[3072,768]	2359296	torch.float32	c68e1cbdc82c9d2d	eafa88c6c8986ef7
CKPT	model.layers.0.mlp.up_proj.weight	[3072,768]	2359296	torch.float32	8004ed8916c08910	cdbc385b212c1a79
CKPT	model.layers.0.post_attention_layernorm.weight	[768]	768	torch.float32	7a1e54a0d37f625a	caf791b6bb116fb2
CKPT	model.layers.0.self_attn.k_proj.bias	[256]	256	torch.float32	bfc7b8087036cc80	9524182702894477
CKPT	model.layers.0.self_attn.k_proj.weight	[256,768]	196608	torch.float32	7c64d96f7c3f8742	c2832cd474bc74f2
CKPT	model.layers.0.self_attn.o_proj.weight	[768,768]	589824	torch.float32	4289b6f0faafd92b	fa93369659090816
CKPT	model.layers.0.self_attn.q_proj.bias	[768]	768	torch.float32	e8fe76973adf40a1	d84762079e0e7549
CKPT	model.layers.0.self_attn.q_proj.weight	[768,768]	589824	torch.float32	bb0b02c2d608021b	a0c364fa043ce1ed
CKPT	model.layers.0.self_attn.v_proj.bias	[256]	256	torch.float32	e64c90e0a4a09f16	af9769ea2a0e5e2a
CKPT	model.layers.0.self_attn.v_proj.weight	[256,768]	196608	torch.float32	8aa0c1481c6342b7	9d5d4b26c0337500
CKPT	model.layers.1.input_layernorm.weight	[768]	768	torch.float32	9550c7b95af9e800	796b9f3898f8b921
CKPT	model.layers.1.mlp.down_proj.weight	[768,3072]	2359296	torch.float32	21bb929d38fb60a7	e8d7a8c3f8798dd8
CKPT	model.layers.1.mlp.gate_proj.weight	[3072,768]	2359296	torch.float32	dbc2547ebe3ef683	7243c961b4a90a97
CKPT	model.layers.1.mlp.up_proj.weight	[3072,768]	2359296	torch.float32	bc02ccb53d255e50	d4a64cb5955cd453
CKPT	model.layers.1.post_attention_layernorm.weight	[768]	768	torch.float32	5121af0b4f38a2e9	bb7009c5ee5a986a
CKPT	model.layers.1.self_attn.k_proj.bias	[256]	256	torch.float32	73697d512c0d17f8	39f5a1e29a1b7ba3
CKPT	model.layers.1.self_attn.k_proj.weight	[256,768]	196608	torch.float32	c19c82ab61ebcd85	4ff7c3ad619ee55e
