step,train_loss,eval_loss
1,9.460998,
2,9.111530,
3,8.357968,
4,8.284399,
5,7.994360,
6,7.722428,
7,8.053314,
8,7.648197,
9,8.219743,
10,8.155478,
11,8.108268,
12,8.014588,
13,8.341825,
14,7.962164,
15,7.677708,
16,8.155160,
17,8.070278,
18,7.898824,
19,7.828846,
20,7.867737,
21,7.853515,
22,7.850027,
23,7.726404,
24,7.764398,
25,7.769410,
26,7.899577,
27,7.920004,
28,7.642307,
29,7.981303,
30,7.824609,
31,7.998384,
32,8.121629,
33,8.073800,
34,8.009994,
35,8.150250,
36,8.048024,
37,7.960734,
38,8.040695,
39,8.161655,
40,7.754781,
41,7.761035,
42,7.797637,
43,8.014688,
44,7.689120,
45,7.463336,
46,7.622847,
47,7.717568,
48,7.663891,
49,8.130001,
50,7.990539,
51,8.779989,
52,7.749102,
53,7.916803,
54,7.868822,
55,8.018727,
56,7.892238,
57,8.066071,
58,7.968813,
59,7.746842,
60,7.732622,
61,7.724101,
62,7.441603,
63,7.871939,
64,8.013274,
65,7.734002,
66,7.553249,
67,7.750978,
68,7.973114,
69,7.557504,
70,7.686233,
71,7.647322,
72,7.589873,
73,7.820013,
74,7.661561,
75,7.563606,
76,7.540301,
77,7.573502,
78,7.805591,
79,7.900299,
80,7.557409,
81,7.763284,
82,7.899191,
83,7.604299,
84,7.896199,
85,7.667824,
86,7.669220,
87,7.969799,
88,7.383955,
89,7.692875,
90,7.737759,
91,7.515689,
92,7.599146,
93,7.718362,
94,7.406893,
95,7.717355,
96,7.270727,
97,7.637749,
98,7.750704,
99,7.809745,
100,7.376231,
101,7.643461,
102,7.399440,
103,7.553181,
104,7.391998,
105,8.011184,
106,7.912157,
107,7.540643,
108,7.497271,
109,7.130116,
110,7.548622,
111,7.695943,
112,7.344758,
113,7.262060,
114,7.294406,
115,7.455029,
116,7.943915,
117,7.558167,
118,7.524544,
119,7.379627,
120,7.582913,
121,7.494901,
122,7.972073,
123,7.400472,
124,7.724245,
125,7.375694,
126,7.955642,
127,7.538134,
128,7.780191,
129,7.358983,
130,7.385002,
131,7.146252,
132,7.607400,
133,7.429760,
134,7.522904,
135,7.490966,
136,7.611560,
137,7.298882,
138,7.587516,
139,7.486663,
140,7.355844,
141,7.248047,
142,7.382001,
143,7.624566,
144,7.203093,
145,7.508302,
146,6.996790,
147,7.208290,
148,7.395731,
149,7.496496,
150,7.130360,
151,7.663754,
152,7.358842,
153,7.205810,
154,7.389932,
155,7.239584,
156,7.055963,
157,7.534909,
158,7.273052,
159,7.437820,
160,7.244515,
161,7.175167,
162,7.327676,
163,7.175221,
164,7.241517,
165,7.345758,
166,7.284767,
167,7.225813,
168,7.248474,
169,7.732182,
170,7.555784,
171,7.715868,
172,7.671242,
173,7.038332,
174,7.751769,
175,7.595129,
176,7.523117,
177,7.329498,
178,7.246684,
179,7.336487,
180,7.553864,
181,7.127489,
182,7.157082,
183,7.392806,
184,7.278479,
185,7.521346,
186,6.977288,
187,6.963423,
188,7.057868,
189,7.331999,
190,7.410083,
191,7.327195,
192,7.192801,
193,7.059911,
194,6.794187,
195,7.201971,
196,7.432372,
197,7.202983,
198,6.992806,
199,7.152535,
200,7.069973,
201,7.469096,
202,7.619111,
203,6.998222,
204,7.534621,
205,7.188628,
206,7.272149,
207,7.309272,
208,7.067567,
209,7.238214,
210,7.111257,
211,7.384055,
212,7.202327,
213,7.333477,
214,7.007027,
215,7.420049,
216,7.016271,
217,7.017332,
218,7.252587,
219,6.953022,
220,7.284871,
221,7.478333,
222,7.518579,
223,7.153790,
224,7.166715,
225,7.247191,
226,7.206901,
227,7.222388,
228,7.370979,
229,7.340661,
230,7.109635,
231,7.329702,
232,6.831682,
233,6.971320,
234,7.617246,
235,7.383074,
236,6.867661,
237,7.267221,
238,6.986965,
239,7.178198,
240,7.177366,
241,7.488130,
242,7.339187,
243,7.146155,
244,7.486767,
245,6.985582,
246,6.763216,
247,6.900281,
248,6.702933,
249,7.232733,
250,7.228921,
251,7.012833,
252,7.120311,
253,7.251669,
254,6.826346,
255,7.624634,
256,7.195958,
257,7.217999,
258,7.292067,
259,6.980919,
260,6.955302,
261,7.080008,
262,6.836331,
263,6.653983,
264,7.351811,
265,7.101301,
266,7.555882,
267,7.291619,
268,7.244696,
269,7.053629,
270,7.380418,
271,7.418315,
272,7.439917,
273,6.774060,
274,7.186839,
275,6.999732,
276,6.865501,
277,7.214341,
278,6.982083,
279,7.358919,
280,7.242500,
281,7.172301,
282,7.025928,
283,7.134642,
284,7.480052,
285,7.287347,
286,6.966373,
287,6.597357,
288,7.119548,
289,6.733650,
290,6.823526,
291,7.036417,
292,7.314229,
293,6.943481,
294,7.475063,
295,6.940257,
296,7.119061,
297,7.243924,
298,7.018509,
299,6.971634,
300,7.052229,
301,7.007250,
302,6.951824,
303,7.013590,
304,7.062515,
305,6.787855,
306,7.421461,
307,6.933547,
308,6.923517,
309,6.927190,
310,6.749143,
311,6.880121,
312,6.812921,
313,7.099085,
314,6.735905,
315,7.051995,
316,7.114295,
317,6.824515,
318,6.989561,
319,7.379593,
320,6.648345,
321,7.099707,
322,6.920667,
323,7.095118,
324,6.741672,
325,7.052064,
326,7.002525,
327,6.657622,
328,6.695422,
329,7.202544,
330,6.847083,
331,6.416975,
332,7.442227,
333,7.123784,
334,7.494409,
335,6.686030,
336,6.957179,
337,7.018415,
338,7.004151,
339,7.128690,
340,6.832103,
341,7.174206,
342,6.863913,
343,7.292523,
344,7.069402,
345,6.925959,
346,7.036607,
347,6.955655,
348,6.951129,
349,7.034433,
350,6.768302,
351,7.379432,
352,6.827004,
353,6.900796,
354,6.728740,
355,7.094644,
356,7.040043,
357,7.079003,
358,6.939624,
359,6.750533,
360,7.040059,
361,7.010890,
362,7.353980,
363,7.023055,
364,6.874382,
365,6.846981,
366,6.932207,
367,7.050782,
368,6.723025,
369,7.171786,
370,6.688721,
371,6.785148,
372,7.071722,
373,7.009426,
374,7.991814,
375,6.891394,
376,6.565309,
377,7.194409,
378,6.998410,
379,7.650987,
380,6.567716,
381,6.949548,
382,7.083921,
383,6.958599,
384,6.692006,
385,6.895689,
386,7.463808,
387,7.107495,
388,6.848623,
389,6.653735,
390,6.646236,
391,7.034535,
392,7.053896,
393,7.109711,
394,7.139691,
395,6.935791,
396,6.842976,
397,6.969597,
398,6.969427,
399,7.018828,
400,7.059330,
401,6.954273,
402,7.004172,
403,6.763782,
404,6.532808,
405,7.129696,
406,6.624092,
407,6.758878,
408,6.870076,
409,6.850508,
410,7.201271,
411,6.863132,
412,6.625957,
413,6.629002,
414,6.553159,
415,7.253255,
416,6.942852,
417,6.678593,
418,7.034246,
419,6.681507,
420,7.273076,
421,6.823947,
422,7.082853,
423,6.886374,
424,6.879286,
425,7.051419,
426,7.056030,
427,6.962592,
428,6.983357,
429,6.989079,
430,6.887921,
431,6.918682,
432,6.681637,
433,6.805406,
434,6.842487,
435,7.226514,
436,6.978600,
437,6.561553,
438,6.556995,
439,6.627650,
440,6.516842,
441,7.054627,
442,6.851278,
443,6.868332,
444,6.739942,
445,6.978897,
446,7.153409,
447,6.831299,
448,7.511714,
449,7.029536,
450,6.760939,
451,6.761525,
452,6.936459,
453,6.828326,
454,6.491787,
455,6.827617,
456,7.079385,
457,6.711681,
458,6.819657,
459,6.975447,
460,6.859659,
461,6.372040,
462,7.205959,
463,6.586596,
464,6.917288,
465,6.607180,
466,6.968878,
467,6.933847,
468,7.034844,
469,6.835855,
470,6.893574,
471,6.926055,
472,6.984040,
473,6.851637,
474,6.849122,
475,7.006484,
476,7.095227,
477,6.764704,
478,6.768212,
479,6.749251,
480,7.244034,
481,6.752706,
482,6.779757,
483,6.961732,
484,6.789269,
485,6.358547,
486,6.909979,
487,6.837740,
488,6.733382,
489,6.819074,
490,6.841457,
491,6.889840,
492,7.007766,
493,6.965354,
494,6.982276,
495,6.843060,
496,6.764258,
497,6.476874,
498,6.705630,
499,6.685305,
500,6.860927,
501,6.740946,
502,7.348509,
503,6.923850,
504,6.484787,
505,6.157290,
506,6.873506,
507,7.001235,
508,7.201674,
509,6.831592,
510,6.903087,
511,7.214260,
512,6.135352,
513,7.641094,
514,7.101285,
515,6.829702,
516,6.774015,
517,6.700583,
518,6.748832,
519,6.967194,
520,7.159158,
521,6.728533,
522,6.850434,
523,6.753864,
524,6.970059,
525,6.647162,
526,6.685527,
527,6.757711,
528,6.550227,
529,6.357266,
530,6.488550,
531,7.464857,
532,6.888695,
533,6.853811,
534,6.918262,
535,6.896014,
536,6.583238,
537,6.904351,
538,6.350829,
539,6.289386,
540,6.954381,
541,6.978302,
542,6.898036,
543,6.952996,
544,6.888441,
545,7.071166,
546,7.219712,
547,6.772336,
548,6.983594,
549,6.522967,
550,6.582287,
551,6.824341,
552,6.714822,
553,6.878396,
554,6.472095,
555,6.898468,
556,6.743248,
557,6.955720,
558,6.868234,
559,7.195090,
560,6.799738,
561,6.317533,
562,6.719876,
563,6.614411,
564,6.498402,
565,6.630039,
566,7.696520,
567,6.461047,
568,6.501819,
569,7.848669,
570,6.680385,
571,6.866477,
572,6.631677,
573,6.746066,
574,6.823191,
575,6.684903,
576,6.437434,
577,6.591768,
578,6.676513,
579,6.941924,
580,6.797173,
581,6.499710,
582,6.444135,
583,7.154779,
584,6.668071,
585,6.677591,
586,6.869196,
587,7.407931,
588,7.038710,
589,6.535748,
590,6.414423,
591,7.980238,
592,6.762844,
593,6.909497,
594,6.836446,
595,6.830885,
596,6.762836,
597,6.668045,
598,6.429298,
599,6.807316,
600,6.903358,
601,6.969150,
602,6.602220,
603,6.754528,
604,6.633879,
605,6.515622,
606,6.449827,
607,6.760406,
608,7.067558,
609,6.418362,
610,6.382678,
611,6.829646,
612,6.506137,
613,6.499598,
614,6.506855,
615,6.632600,
616,6.853465,
617,7.341101,
618,7.157508,
619,6.824096,
620,6.701695,
621,7.271343,
622,6.592990,
623,6.562570,7.622762
624,6.574713,
625,6.627345,
626,6.567215,
627,6.909383,
628,6.310298,
629,6.555644,
630,6.526784,
631,6.207685,
632,6.659562,
633,6.554647,
634,6.603591,
635,6.370734,
636,6.809268,
637,6.522908,
638,6.407380,
639,6.753809,
640,6.772050,
641,6.581695,
642,6.421382,
643,6.437934,
644,6.604142,
645,6.576894,
646,6.567240,
647,6.231106,
648,6.436084,
649,6.670613,
650,6.650248,
651,6.481184,
652,6.518685,
653,6.606195,
654,6.561229,
655,6.781510,
656,6.744796,
657,6.682297,
658,6.697184,
659,6.495318,
660,6.415318,
661,6.743674,
662,6.622996,
663,6.256850,
664,6.347898,
665,6.279574,
666,6.705215,
667,6.441089,
668,6.027932,
669,6.487759,
670,6.351574,
671,6.223541,
672,6.416158,
673,6.711962,
674,7.099314,
675,6.350488,
676,6.368789,
677,6.531550,
678,6.770252,
679,6.540300,
680,6.763078,
