# learning_proof.py - per-tensor weight-delta forensic listing
# generated: 2026-09-24T08:25:03+00:00
# comparison: checkpoint-200_vs_checkpoint-1869 (steps 200 -> 1869)
# scheme: SHA16 = first 16 hex of sha256(key|dtype|shape|raw_bytes); RELCHG = ||delta||_F / ||earliest_weights||_F; eps thresholds are relative to the EARLIEST tensor std
# global: mean_abs=0.0142416 std_abs=0.0220793 max_abs=0.990325 frac_tensors_changed=1 frac_params_nz=0.999993 rel_l2=1.04187

# DELTA rows: KEY SHAPE NUMEL ABSMEAN ABSMED ABSSTD ABSMAX FRAC_NZ FRAC_GT_1E-6STD FRAC_GT_1E-4STD FRAC_GT_1E-3STD FRAC_GT_1E-2STD RELCHG L2_DELTA L2_W_EARLY NAN INF SHA16_EARLY SHA16_LATE
DELTA	KEY	SHAPE	NUMEL	ABSMEAN	ABSMED	ABSSTD	ABSMAX	FRAC_NZ	GT1E-6STD	GT1E-4STD	GT1E-3STD	GT1E-2STD	RELCHG	L2_DELTA	L2_W_EARLY	NAN	INF	SHA16_EARLY	SHA16_LATE
DELTA	lm_head.weight	[10240,768]	7864320	0.0229747	0.0186627	0.019001	0.359136	1	0.999999	0.999899	0.99902	0.99021	1.08802	83.6086	76.8445	0	0	f50ffdb766bf5d3f	23d49d39729b615e
DELTA	model.embed_tokens.weight	[10240,768]	7864320	0.0280486	0.0230415	0.0233428	0.219866	0.999902	0.999898	0.999488	0.995789	0.9614	1.58656	102.334	64.5006	0	0	e78530067545862d	d728eeb669eba025
DELTA	model.layers.0.input_layernorm.weight	[768]	768	0.0530071	0.0459126	0.040072	0.225562	1	1	1	1	0.998698	0.066859	1.84106	27.5365	0	0	388fb504371a4fec	c93ee92217833a4f
DELTA	model.layers.0.mlp.down_proj.weight	[768,3072]	2359296	0.0116171	0.00570804	0.0162133	0.511809	1	0.999995	0.999624	0.996096	0.961162	0.92112	30.6365	33.2601	0	0	5710d991c0722c1b	433a66bc63dcbf51
DELTA	model.layers.0.mlp.gate_proj.weight	[3072,768]	2359296	0.00882767	0.00380683	0.0132508	0.26391	1	0.999994	0.999491	0.994796	0.948368	0.745929	24.4563	32.7863	0	0	343d5675227cb450	c68e1cbdc82c9d2d
DELTA	model.layers.0.mlp.up_proj.weight	[3072,768]	2359296	0.00851954	0.0036313	0.0129241	0.271826	1	0.999996	0.999455	0.99456	0.946028	0.726563	23.7765	32.7247	0	0	b23ce92417b1d396	8004ed8916c08910
DELTA	model.layers.0.post_attention_layernorm.weight	[768]	768	0.0491414	0.04945	0.0254947	0.14772	1	1	1	1	0.997396	0.0548028	1.534	27.9913	0	0	3f3695c338482644	7a1e54a0d37f625a
DELTA	model.layers.0.self_attn.k_proj.bias	[256]	256	0.0440124	0.0367242	0.0329789	0.170519	1	1	1	1	1	3.24884	0.879338	0.270662	0	0	87a878f46ac2e8f0	bfc7b8087036cc80
DELTA	model.layers.0.self_attn.k_proj.weight	[256,768]	196608	0.038887	0.032618	0.0297128	0.231072	1	1	0.999959	0.999619	0.996155	2.01776	21.6999	10.7544	0	0	b4acf07cac72d4f6	7c64d96f7c3f8742
DELTA	model.layers.0.self_attn.o_proj.weight	[768,768]	589824	0.0165677	0.011794	0.0158436	0.187665	1	0.999998	0.999891	0.998964	0.989003	1.08198	17.6056	16.2716	0	0	63cd374b2947fedf	4289b6f0faafd92b
DELTA	model.layers.0.self_attn.q_proj.bias	[768]	768	0.0621376	0.0515161	0.0470851	0.23789	1	1	1	1	1	3.3291	2.16004	0.648835	0	0	1d691c08fd0e6292	e8fe76973adf40a1
